batter,death_runs,death_balls,death_sr
MN van Wyk,66,43,153.48837209302326
MP Stoinis,866,515,168.15533980582524
MR Marsh,208,140,148.57142857142858
MS Bisla,52,33,157.57575757575756
MS Dhoni,3468,2083,166.49063850216035
MS Gony,88,59,149.15254237288136
MV Boucher,235,152,154.60526315789474
Mandeep Singh,410,280,146.42857142857142
Mashrafe Mortaza,2,2,100.0
Mayank Dagar,0,1,0.0
Misbah-ul-Haq,42,20,210.0
Mohammad Asif,1,3,33.33333333333333
Mohammad Hafeez,10,9,111.11111111111111
Mohammad Nabi,129,92,140.2173913043478
Mohammed Shami,82,87,94.25287356321839
Mohammed Siraj,112,127,88.18897637795276
Mohit Rathee,1,2,50.0
Mohsin Khan,24,25,96.0
Mujeeb Ur Rahman,11,12,91.66666666666666
Mukesh Choudhary,2,2,100.0
Mukesh Kumar,10,20,50.0
Mustafizur Rahman,13,24,54.166666666666664
N Burger,3,5,60.0
N Jagadeesan,11,16,68.75
N Pooran,838,514,163.03501945525292
N Rana,427,251,170.1195219123506
N Saini,7,8,87.5
N Wadhera,141,86,163.95348837209303
ND Doshi,0,13,0.0
NJ Rimmington,1,1,100.0
NK Patel,37,23,160.8695652173913
NL McCullum,20,18,111.11111111111111
NLTC Perera,267,189,141.26984126984127
NM Coulter-Nile,73,59,123.72881355932203
NS Naik,13,22,59.09090909090909
NT Ellis,19,19,100.0
NV Ojha,411,308,133.44155844155844
Naman Dhir,262,141,185.81560283687944
Navdeep Saini,28,27,103.7037037037037
Naveen-ul-Haq,17,21,80.95238095238095
Nithish Kumar Reddy,153,88,173.86363636363635
Noor Ahmad,27,41,65.85365853658537
OA Shah,269,179,150.27932960893855
OC McCoy,8,5,160.0
OF Smith,48,40,120.0
P Awana,5,14,35.714285714285715
P Dogra,73,64,114.0625
P Dubey,10,17,58.82352941176471
P Kumar,294,268,109.70149253731343
P Negi,257,191,134.55497382198953
P Parameswaran,1,3,33.33333333333333
P Ray Barman,0,1,0.0
P Sahu,19,13,146.15384615384613
P Simran Singh,78,44,177.27272727272728
PA Patel,95,72,131.94444444444443
PA Reddy,15,5,300.0
PBB Rajapaksa,6,8,75.0
PC Valthaty,46,22,209.0909090909091
PD Collingwood,81,45,180.0
PD Salt,35,19,184.21052631578948
PHKD Mendis,26,26,100.0
PJ Cummins,451,284,158.80281690140845
PJ Sangwan,22,37,59.45945945945946
PK Garg,65,41,158.53658536585365
PM Sarvesh Kumar,1,2,50.0
PN Mankad,18,11,163.63636363636365
PP Chawla,453,387,117.05426356589147
PP Ojha,16,43,37.2093023255814
PP Shaw,30,22,136.36363636363635
PR Shah,27,24,112.5
PR Veer,6,8,75.0
PV Tambe,12,30,40.0
PVD Chameera,52,45,115.55555555555554
PVSN Raju,1,1,100.0
PWA Mulder,9,10,90.0
PWH de Silva,56,57,98.24561403508771
Pankaj Singh,7,12,58.333333333333336
Parvez Rasool,17,20,85.0
Prince Yadav,5,11,45.45454545454545
Q de Kock,210,110,190.9090909090909
R Ashwin,476,373,127.61394101876675
R Bhatia,251,177,141.80790960451978
R Bishnoi,1,2,50.0
R Dhawan,168,133,126.3157894736842
R Dravid,200,120,166.66666666666669
R McLaren,69,61,113.11475409836065
R Ninan,3,6,50.0
R Parag,557,364,153.02197802197801
R Powell,288,164,175.609756097561
R Rampaul,36,36,100.0
R Ravindra,24,9,266.66666666666663
R Sai Kishore,18,16,112.5
R Sanjay Yadav,0,2,0.0
R Sathish,164,122,134.4262295081967
R Sharma,65,75,86.66666666666667
R Shepherd,163,76,214.47368421052633
R Shukla,18,22,81.81818181818183
R Tewatia,816,529,154.25330812854443
R Vinay Kumar,262,239,109.62343096234311
RA Bawa,8,4,200.0
RA Jadeja,1831,1282,142.82371294851794
RA Tripathi,219,155,141.29032258064515
RD Chahar,125,111,112.61261261261262
RD Gaikwad,263,156,168.5897435897436
RD Rickelton,1,2,50.0
RE van der Merwe,53,47,112.7659574468085
RG More,2,2,100.0
RG Sharma,1527,876,174.31506849315068
RJ Gleeson,2,2,100.0
RJ Harris,97,87,111.49425287356323
RJ Peterson,19,18,105.55555555555556
RJ Quiney,1,3,33.33333333333333
RJW Topley,3,6,50.0
RK Bhui,0,1,0.0
RK Singh,633,364,173.90109890109892
RM Patidar,178,100,178.0
RN ten Doeschate,212,142,149.29577464788733
RP Meredith,0,3,0.0
RP Singh,50,72,69.44444444444444
RR Bhatkal,0,2,0.0
RR Pant,1034,540,191.48148148148147
RR Powar,67,60,111.66666666666667
RR Raje,20,18,111.11111111111111
RR Rossouw,82,42,195.23809523809524
RS Bopara,179,106,168.86792452830187
RS Sodhi,4,2,200.0
RV Gomez,50,45,111.11111111111111
RV Patel,52,44,118.18181818181819
RV Uthappa,567,343,165.3061224489796
Rahmanullah Gurbaz,0,1,0.0
Ramandeep Singh,155,86,180.2325581395349
Rashid Khan,521,340,153.23529411764707
Rasikh Salam,29,25,115.99999999999999
Ravi Bishnoi,36,51,70.58823529411765
S Anirudha,76,56,135.71428571428572
S Aravind,49,47,104.25531914893618
S Arora,33,24,137.5
S Badree,8,16,50.0
S Badrinath,422,283,149.11660777385157
S Dhawan,668,429,155.7109557109557
S Dube,700,449,155.902004454343
S Gopal,135,108,125.0
S Kaul,20,36,55.55555555555556
S Kaushik,0,1,0.0
S Ladda,0,3,0.0
S Lamichhane,0,1,0.0
S Nadeem,30,66,45.45454545454545
S Narwal,25,19,131.57894736842107
S Rana,68,50,136.0
S Randiv,2,4,50.0
S Sohal,4,9,44.44444444444444
S Sreesanth,34,57,59.64912280701754
S Tyagi,3,4,75.0
S Vidyut,0,3,0.0
SA Abbott,22,15,146.66666666666666
SA Yadav,825,467,176.65952890792292
SB Bangar,32,23,139.1304347826087
SB Dubey,91,48,189.58333333333331
SB Jakati,28,30,93.33333333333333
SB Joshi,0,2,0.0
SB Styris,40,28,142.85714285714286
SB Wagh,2,3,66.66666666666666
SC Ganguly,190,109,174.3119266055046
SD Chitnis,43,38,113.1578947368421
SD Hope,11,10,110.00000000000001
SE Marsh,262,173,151.4450867052023
SE Rutherford,257,170,151.1764705882353
SH Johnson,7,9,77.77777777777779
SJ Srivastava,5,5,100.0
SK Raina,899,544,165.25735294117646
SK Trivedi,42,60,70.0
SK Warne,137,134,102.23880597014924
SL Malinga,86,99,86.86868686868688
SM Curran,456,267,170.78651685393257
SM Harwood,9,14,64.28571428571429
SM Katich,20,16,125.0
SM Pollock,80,44,181.8181818181818
SMSM Senanayake,10,17,58.82352941176471
SN Khan,307,188,163.29787234042556
SN Thakur,220,161,136.64596273291926
SO Hetmyer,937,580,161.55172413793105
SP Goswami,26,23,113.04347826086956
SP Jackson,34,30,113.33333333333333
SP Narine,156,131,119.08396946564885
SPD Smith,706,442,159.72850678733033
SR Tendulkar,224,143,156.64335664335664
SR Watson,453,251,180.4780876494024
SS Cottrell,0,2,0.0
SS Iyer,709,413,171.67070217917674
SS Prabhudessai,24,23,104.34782608695652
SS Tiwary,454,327,138.83792048929664
STR Binny,397,266,149.24812030075188
SV Samson,805,444,181.3063063063063
SW Billings,118,71,166.19718309859155
SW Tait,13,17,76.47058823529412
SZ Mulani,1,1,100.0
Sachin Baby,95,65,146.15384615384613
Salman Butt,16,6,266.66666666666663
Sameer Rizvi,89,43,206.97674418604652
Sandeep Sharma,48,64,75.0
Sanvir Singh,18,15,120.0
Saurav Chauhan,17,14,121.42857142857142
Shahbaz Ahmed,278,208,133.65384615384613
Shahid Afridi,22,10,220.00000000000003
Shakib Al Hasan,329,252,130.55555555555557
Shashank Singh,454,244,186.0655737704918
Shivam Mavi,48,52,92.3076923076923
Shivam Sharma,5,3,166.66666666666669
Shivam Singh,2,3,66.66666666666666
Shivang Kumar,9,6,150.0
