batter,total_runs,balls_played,innings,strike_rate,dismissals,average,boundary_runs,boundary_percent,dot_balls,dot_ball_percent,consistency_score,total_50s,total_100s,best_batting,total_wickets,best_bowling,best_batting_runs,best_batting_balls,best_bowling_wickets,best_bowling_runs
VR Iyer,1497,1123,57,133.30365093499557,50.0,29.94,950.0,63.460253841015366,451.0,40.160284951024046,23.821903423252447,12.0,1.0,104,3.0,2.0,104,53,2.0,30.0
SS Tiwary,1494,1291,73,115.72424477149497,50.0,29.88,744.0,49.79919678714859,479.0,37.10302091402014,16.888590981110447,8.0,0.0,61,0.0,0.0,61,39,0.0,0.0
P Simran Singh,1486,991,55,149.94954591321897,55.0,27.01818181818182,1088.0,73.21668909825033,410.0,41.372351160444,24.30324693220664,9.0,1.0,103,0.0,0.0,103,68,0.0,0.0
S Badrinath,1441,1245,65,115.7429718875502,48.0,30.02083333333333,784.0,54.40666204024984,493.0,39.598393574297184,21.09544473248997,11.0,0.0,71,0.0,0.0,71,49,0.0,0.0
EJG Morgan,1406,1181,74,119.05165114309906,61.0,23.049180327868854,832.0,59.17496443812234,512.0,43.35309060118544,17.52805969616514,5.0,0.0,68,0.0,0.0,68,36,0.0,0.0
BJ Hodge,1400,1153,63,121.42237640936686,46.0,30.43478260869565,746.0,53.28571428571428,439.0,38.074588031222895,19.18201816255345,6.0,0.0,73,18.0,5.0,73,64,5.0,13.0
MR Marsh,1367,990,53,138.08080808080808,50.0,27.34,920.0,67.30065837600586,400.0,40.4040404040404,26.913221293750507,9.0,1.0,117,37.0,4.0,117,65,4.0,25.0
SC Ganguly,1349,1326,56,101.73453996983407,54.0,24.98148148148148,800.0,59.30318754633062,662.0,49.92458521870287,23.21933112004602,7.0,0.0,91,12.0,3.0,91,58,3.0,23.0
CA Lynn,1329,974,42,136.4476386036961,39.0,34.07692307692308,924.0,69.52595936794582,416.0,42.71047227926078,25.324066860781624,10.0,0.0,93,0.0,0.0,93,46,0.0,0.0
DJ Hussey,1322,1101,61,120.07266121707538,49.0,26.97959183673469,720.0,54.46293494704992,425.0,38.60127157129882,18.48487788389509,5.0,0.0,71,10.0,2.0,71,47,2.0,2.0
RM Patidar,1306,860,42,151.86046511627907,39.0,33.48717948717949,864.0,66.15620214395099,293.0,34.06976744186046,23.2230011335582,11.0,1.0,112,0.0,0.0,112,55,0.0,0.0
TM Head,1266,788,42,160.65989847715736,38.0,33.31578947368421,926.0,73.1437598736177,291.0,36.92893401015229,28.400937315837275,8.0,1.0,102,3.0,2.0,102,45,2.0,30.0
V Shankar,1233,985,63,125.17766497461928,46.0,26.80434782608696,640.0,51.9059205190592,339.0,34.41624365482234,17.222185884374394,7.0,0.0,69,12.0,2.0,69,57,2.0,19.0
KM Jadhav,1208,1012,81,119.36758893280631,54.0,22.37037037037037,648.0,53.64238410596026,375.0,37.05533596837945,14.7319359987615,4.0,0.0,69,0.0,0.0,69,38,0.0,0.0
PD Salt,1188,700,38,169.7142857142857,36.0,33.0,916.0,77.10437710437711,269.0,38.42857142857143,27.610891124284603,11.0,0.0,89,0.0,0.0,89,50,0.0,0.0
RK Singh,1177,860,55,136.86046511627907,40.0,29.425,722.0,61.34239592183517,311.0,36.16279069767442,16.405283701702125,4.0,0.0,67,0.0,0.0,67,35,0.0,0.0
MM Ali,1167,865,59,134.91329479768785,51.0,22.88235294117647,782.0,67.00942587832049,357.0,41.27167630057804,20.08092918976829,6.0,0.0,93,46.0,4.0,93,60,4.0,13.0
TM Dilshan,1153,1047,50,110.12416427889208,41.0,28.121951219512194,704.0,61.05810928013877,492.0,46.99140401146132,21.94000167432509,9.0,0.0,76,5.0,1.0,76,60,1.0,3.0
IK Pathan,1150,985,82,116.751269035533,53.0,21.69811320754717,580.0,50.43478260869565,373.0,37.86802030456853,12.589409236824787,1.0,0.0,60,99.0,3.0,60,30,3.0,13.0
R Tewatia,1146,879,80,130.3754266211604,50.0,22.92,702.0,61.25654450261781,342.0,38.907849829351534,12.799104992443606,1.0,0.0,53,36.0,3.0,53,32,3.0,18.0
ML Hayden,1107,839,32,131.94278903456495,28.0,39.535714285714285,748.0,67.57000903342367,367.0,43.74255065554231,26.45734165443223,8.0,0.0,93,0.0,0.0,93,46,0.0,0.0
M Vohra,1083,863,51,125.49246813441484,48.0,22.5625,674.0,62.23453370267775,393.0,45.538818076477405,19.54030525380207,3.0,0.0,95,0.0,0.0,95,52,0.0,0.0
DP Conway,1080,794,28,136.02015113350126,25.0,43.2,672.0,62.22222222222222,288.0,36.272040302267,32.17248487557004,11.0,0.0,92,0.0,0.0,92,54,0.0,0.0
LMP Simmons,1079,878,29,122.89293849658314,27.0,39.96296296296296,700.0,64.87488415199259,402.0,45.78587699316628,29.24451024227188,11.0,1.0,100,1.0,1.0,100,65,1.0,34.0
LS Livingstone,1065,720,48,147.91666666666669,41.0,25.97560975609756,736.0,69.10798122065728,278.0,38.61111111111112,23.496180087908,7.0,0.0,94,13.0,3.0,94,49,3.0,27.0
A Badoni,1038,799,50,129.91239048811013,40.0,25.95,568.0,54.72061657032755,284.0,35.54443053817272,18.707806948339147,7.0,0.0,74,4.0,2.0,74,45,2.0,4.0
LRPL Taylor,1017,847,54,120.07083825265644,41.0,24.804878048780488,540.0,53.09734513274337,334.0,39.43329397874852,16.729535513294028,3.0,0.0,81,0.0,0.0,81,33,0.0,11.0
JM Sharma,1006,674,50,149.25816023738872,42.0,23.95238095238096,684.0,67.9920477137177,257.0,38.13056379821958,16.15061760365813,1.0,0.0,85,0.0,0.0,85,34,0.0,0.0
KP Pietersen,1001,758,36,132.05804749340368,29.0,34.51724137931034,604.0,60.33966033966034,290.0,38.25857519788919,22.02183260110545,4.0,1.0,103,9.0,2.0,103,66,2.0,14.0
MC Henriques,1000,801,54,124.84394506866415,38.0,26.31578947368421,516.0,51.6,284.0,35.45568039950062,17.09324123380376,5.0,0.0,74,46.0,3.0,74,48,3.0,14.0
SM Curran,997,761,53,131.011826544021,41.0,24.317073170731707,586.0,58.77632898696088,283.0,37.18791064388962,19.403664011423587,6.0,0.0,88,63.0,4.0,88,51,4.0,13.0
Y Venugopal Rao,985,865,52,113.8728323699422,42.0,23.45238095238096,530.0,53.80710659898477,355.0,41.04046242774567,16.303991405376976,3.0,0.0,71,7.0,2.0,71,45,2.0,23.0
TH David,979,586,48,167.06484641638227,27.0,36.25925925925926,680.0,69.45863125638407,200.0,34.129692832764505,16.582148287962315,2.0,0.0,70,0.0,0.0,70,25,0.0,18.0
JA Morkel,975,712,67,136.938202247191,40.0,24.375,574.0,58.87179487179487,252.0,35.39325842696629,15.46186274215559,3.0,0.0,73,96.0,4.0,73,59,4.0,27.0
A Symonds,974,781,36,124.71190781049935,26.0,37.46153846153846,542.0,55.64681724845995,308.0,39.436619718309856,22.88723217921723,5.0,1.0,117,23.0,3.0,117,57,3.0,22.0
CL White,971,774,45,125.45219638242897,35.0,27.742857142857144,532.0,54.78887744593203,274.0,35.400516795865634,22.584677920388344,6.0,0.0,78,1.0,1.0,78,46,1.0,14.0
BA Stokes,935,718,43,130.22284122562675,41.0,22.804878048780488,516.0,55.18716577540107,253.0,35.23676880222841,23.63723155094805,2.0,2.0,107,31.0,3.0,107,63,3.0,16.0
HH Gibbs,886,837,36,105.8542413381123,32.0,27.6875,518.0,58.46501128668172,410.0,48.98446833930705,20.49986449819716,6.0,0.0,69,0.0,0.0,69,57,0.0,0.0
STR Binny,880,700,66,125.71428571428572,44.0,20.0,474.0,53.86363636363637,268.0,38.285714285714285,12.057979590083566,0.0,0.0,48,28.0,3.0,48,32,3.0,14.0
Dhruv Jurel,856,560,40,152.85714285714283,26.0,32.92307692307692,548.0,64.01869158878505,176.0,31.428571428571427,22.579545997116448,6.0,0.0,81,0.0,0.0,81,44,0.0,0.0
R Ashwin,833,728,93,114.42307692307692,63.0,13.22222222222222,430.0,51.62064825930373,280.0,38.46153846153847,10.334528426268973,1.0,0.0,50,205.0,5.0,50,38,5.0,25.0
Harbhajan Singh,833,636,88,130.9748427672956,56.0,14.875,568.0,68.18727490996399,285.0,44.81132075471698,11.729664588041825,1.0,0.0,64,161.0,5.0,64,27,5.0,18.0
T Stubbs,820,525,34,156.1904761904762,18.0,45.55555555555556,484.0,59.02439024390244,134.0,25.52380952380953,20.446181692703693,4.0,0.0,71,4.0,2.0,71,25,2.0,11.0
Abdul Samad,815,570,55,142.98245614035088,45.0,18.11111111111111,514.0,63.06748466257669,206.0,36.140350877192986,11.904077902427836,0.0,0.0,45,2.0,1.0,45,27,1.0,9.0
