batter,total_runs,balls_played,innings,strike_rate
S Chanderpaul,25,33,3,75.75757575757575
Sanvir Singh,25,22,5,113.63636363636364
Mohsin Khan,25,28,6,89.28571428571429
MA Khote,24,22,3,109.09090909090908
Tanush Kotian,24,32,1,75.0
ER Dwivedi,24,15,2,160.0
KC Cariappa,24,21,5,114.28571428571428
AJ Turner,24,31,6,77.41935483870968
AF Milne,23,31,6,74.19354838709677
SW Tait,23,26,5,88.46153846153845
Umran Malik,23,16,5,143.75
J Arunkumar,23,24,3,95.83333333333334
P Dubey,23,33,2,69.6969696969697
BMAJ Mendis,23,27,3,85.18518518518519
SA Abbott,22,18,3,122.22222222222223
Sediqullah Atal,22,16,1,137.5
GB Hogg,22,22,4,100.0
HE van der Dussen,22,25,3,88.0
KL Nagarkoti,22,34,7,64.70588235294117
AU Rashid,22,17,2,129.41176470588235
XC Bartlett,22,20,2,110.00000000000001
Yudhvir Singh,22,16,4,137.5
B Indrajith,21,31,3,67.74193548387096
Kumar Kushagra,21,21,4,100.0
DE Bollinger,21,23,4,91.30434782608695
AC Thomas,20,19,4,105.26315789473684
C Sakariya,20,31,7,64.51612903225806
S Kaul,20,36,9,55.55555555555556
NJ Maddinson,20,21,3,95.23809523809523
RR Raje,20,18,5,111.11111111111111
M Muralitharan,20,30,9,66.66666666666666
BKG Mendis,20,11,1,181.8181818181818
P Sahu,19,13,2,146.15384615384613
NT Ellis,19,26,5,73.07692307692307
P Ray Barman,19,25,1,76.0
R Bishnoi,19,17,3,111.76470588235294
Gulbadin Naib,19,15,1,126.66666666666666
Y Gnaneswara Rao,19,18,1,105.55555555555556
JR Hazlewood,19,30,7,63.33333333333333
DR Martyn,19,26,1,73.07692307692307
A Mukund,19,23,2,82.6086956521739
RA Bawa,19,18,3,105.55555555555556
R Shukla,19,23,4,82.6086956521739
Naveen-ul-Haq,18,26,4,69.23076923076923
PV Tambe,18,39,6,46.15384615384615
Kartik Tyagi,18,21,7,85.71428571428571
R Sai Kishore,18,16,4,112.5
JJ van der Wath,18,17,3,105.88235294117648
Sumit Kumar,18,26,3,69.23076923076923
DS Lehmann,18,19,2,94.73684210526315
T Banton,18,22,2,81.81818181818183
Harmeet Singh,18,12,4,150.0
KMA Paul,18,26,5,69.23076923076923
Saurav Chauhan,18,16,3,112.5
BJ Haddin,18,11,1,163.63636363636365
M Theekshana,17,34,6,50.0
JA Richardson,17,27,3,62.96296296296296
Parvez Rasool,17,20,4,85.0
GF Linde,16,10,1,160.0
KS Sharma,16,25,3,64.0
YV Dhull,16,23,3,69.56521739130434
AJ Hosein,16,11,1,145.45454545454547
PP Ojha,16,45,19,35.55555555555556
CK Kapugedera,16,24,3,66.66666666666666
JL Pattinson,15,13,2,115.38461538461537
Virat Singh,15,26,2,57.692307692307686
C Madan,15,21,1,71.42857142857143
VY Mahesh,15,28,5,53.57142857142857
A Zampa,15,25,5,60.0
GR Napier,15,16,1,93.75
SD Lad,15,13,1,115.38461538461537
I Udana,15,11,4,136.36363636363635
MP Breetzke,14,12,1,116.66666666666667
MDKJ Perera,14,13,2,107.6923076923077
FA Allen,14,19,3,73.68421052631578
F Behardien,14,13,3,107.6923076923077
Vijaykumar Vyshak,14,13,4,107.6923076923077
Arjun Tendulkar,13,9,1,144.44444444444443
Mustafizur Rahman,13,24,7,54.166666666666664
Harsh Dubey,13,11,4,118.18181818181819
DR Shorey,13,20,2,65.0
KJ Abbott,13,8,3,162.5
DT Patil,13,13,2,100.0
S Badree,13,25,5,52.0
K Upadhyay,12,9,2,133.33333333333331
AA Chavan,12,11,3,109.09090909090908
K Kartikeya,12,18,4,66.66666666666666
DG Nalkande,12,12,2,100.0
T Thushara,12,19,4,63.1578947368421
